1.000000000000000000e+00 7.599999999999999334e-04 6.045675291617711444e-01 6.577686935199270613e-01 5.623515478849960836e-01 6.412785010533436081e-01 5.664118496148135007e-01 7.592590223894868373e-01 6.950196415921691129e-01 8.710872723537267381e-01 5.781596992246853528e-01
2.000000000000000000e+00 9.890738440717014579e-04 9.710633204380670902e-01 7.941371936765149186e-01 7.220406910057487471e-01 7.799828265085156920e-01 7.493606443288109986e-01 9.136366083456627374e-01 8.963443169319723625e-01 8.749588405797101842e-01 9.188013792028675297e-01
3.000000000000000000e+00 9.045088791534848689e-04 1.481988253593444771e+00 8.607672651155604537e-01 7.973448308329816880e-01 8.461940852618375919e-01 8.105405964990749501e-01 8.712012982386645454e-01 8.512355919889832423e-01 9.599586685905744377e-01 7.646345502006467454e-01
4.000000000000000000e+00 7.500009999999999229e-04 1.716762138605117727e+00 8.088419583526712531e-01 7.329762323684057002e-01 8.172217046030169074e-01 7.418407194794982562e-01 9.110022711090536296e-01 8.952784902492416652e-01 8.972689517529485181e-01 8.932968403007752745e-01
5.000000000000000000e+00 5.522660225769001350e-04 1.266990136305491177e+00 8.506731039195987165e-01 7.914804184542142407e-01 8.261286300184293996e-01 7.938866919654579135e-01 9.102908046606421610e-01 8.990060085525275468e-01 9.614768056533966600e-01 8.441578680796353318e-01
6.000000000000000000e+00 3.454941208465150959e-04 1.289500813881556240e+00 8.582606656604059303e-01 8.079775626789609255e-01 8.581655537346924989e-01 7.965470186640428718e-01 9.051545194344168266e-01 8.931906243214039476e-01 9.650172143798018132e-01 8.313155023960727696e-01
7.000000000000000000e+00 1.654380350817837616e-04 1.353394915064175974e+00 8.636559662400605797e-01 8.183463417164343889e-01 8.676067258245143687e-01 8.017758611133629643e-01 9.310523709056621744e-01 9.187688305741543715e-01 9.189993811911340016e-01 9.185383956052518561e-01
8.000000000000000000e+00 4.323109826961479656e-05 1.408041500846545002e+00 8.611528892098709864e-01 8.167579228945517356e-01 8.774514753984065107e-01 7.832418893853968500e-01 9.269414834178386631e-01 9.173071290788450405e-01 9.524253926976070650e-01 8.846865625121751453e-01
9.000000000000000000e+00 4.000000000000000249e-09 1.444710042874018274e+00 8.613971725872100471e-01 8.048730486328928846e-01 8.570055258697764078e-01 7.777911173782446896e-01 9.331314902598339955e-01 9.231586710003252261e-01 9.417080794111538644e-01 9.053259048583784940e-01
1.000000000000000000e+01 4.323109826961474235e-05 1.520432747006416285e+00 8.688035023299872650e-01 8.309260297346584556e-01 8.714919870601912644e-01 8.145796579889929001e-01 9.333889239098462909e-01 9.234090706054018938e-01 9.413973162784108339e-01 9.060953753847352798e-01
