1.000000000000000000e+00 7.599999999999999334e-04 6.515198878447214792e-01 6.158685424518384188e-01 4.882164638065868423e-01 5.858422926482252935e-01 4.922945055799320402e-01 7.749741874132682895e-01 7.255762780471365359e-01 8.900839769965590564e-01 6.123922973308550954e-01
2.000000000000000000e+00 9.890738440717014579e-04 1.046784891088803571e+00 7.313271274720496429e-01 6.118072786573108823e-01 7.123435448828930872e-01 6.386132874178781504e-01 8.215574957903548636e-01 7.859887541832868418e-01 9.647764423024286495e-01 6.631052984069411016e-01
3.000000000000000000e+00 9.045088791534848689e-04 1.672561854521433578e+00 7.542724757827179438e-01 6.700065471376037696e-01 7.650276544889959007e-01 6.661648076750212866e-01 8.349725747281051547e-01 8.300157024668450845e-01 7.367801981861717975e-01 9.502667639909999631e-01
4.000000000000000000e+00 7.500009999999999229e-04 1.931564683516820313e+00 7.140912188406198791e-01 5.772306856623349303e-01 7.229085650350799419e-01 5.552947783085691036e-01 8.633749032972179993e-01 8.552447624228862733e-01 7.841818615332488696e-01 9.404706183356034144e-01
5.000000000000000000e+00 5.522660225769001350e-04 1.509083357254664026e+00 7.257206243145762903e-01 6.088237575542728708e-01 7.577966433533268598e-01 5.752304743957417088e-01 8.859040399579685143e-01 8.755800977752585812e-01 8.590613454907247704e-01 8.927465779710886951e-01
6.000000000000000000e+00 3.454941208465150959e-04 1.550781706968943352e+00 7.309922805197267559e-01 6.109112261442234404e-01 7.827402476447266055e-01 5.493960882697750403e-01 8.797465161138477985e-01 8.656477253748010581e-01 9.330232752293259324e-01 8.073474854954134639e-01
7.000000000000000000e+00 1.654380350817837616e-04 1.591295414368311567e+00 7.624622076056465358e-01 6.760824448253801577e-01 7.888158258854739424e-01 6.257486381868685443e-01 8.935493204733750972e-01 8.829302006271665393e-01 9.024383727837618219e-01 8.642476051441428941e-01
8.000000000000000000e+00 4.323109826961479656e-05 1.698286176522572744e+00 7.610180810073192692e-01 6.799091909919784404e-01 8.037120548784139062e-01 6.212015422883504501e-01 8.910672740237565170e-01 8.806743804637305884e-01 8.804557933135270797e-01 8.808930761763577033e-01
9.000000000000000000e+00 4.000000000000000249e-09 1.740356028079986572e+00 7.598344552325000389e-01 6.635780924874999931e-01 7.869526833447426650e-01 6.039790066957432257e-01 8.930029709637236079e-01 8.824122480319873674e-01 8.979639214610904974e-01 8.673900774330456365e-01
1.000000000000000000e+01 4.323109826961474235e-05 1.871178882519404008e+00 7.611198495453995738e-01 6.667432462287099515e-01 7.572611513311285902e-01 6.278569341027839812e-01 8.930302052508598543e-01 8.824446623478917617e-01 8.979100980770908791e-01 8.675029535928481250e-01
